resume,url,lead_paragraph,source,headline,keywords,date,byline,uri,sentiment
The streaming service picks Joe Rogan over Neil Young and Joni Mitchell.,https://www.nytimes.com/2022/02/01/opinion/spotify-joe-rogan-disinformation.html,"The streaming service Spotify would like us to believe it is grappling with profound matters of free speech and censorship as it faces mounting pressure over repeated Covid disinformation from its star podcaster, Joe Rogan.",The New York Times,"{'main': 'Spotify Backs Joe Rogan’s Disinformation Machine', 'kicker': 'Greg Bensinger', 'content_kicker': None, 'print_headline': 'Spotify Chooses Profits Over Truth', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Rogan, Joe', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Young, Neil', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Social Media', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom of Speech and Expression', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Censorship', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Spotify', 'rank': 7, 'major': 'N'}]",2022-02-01T23:50:50+0000,"{'original': 'By Greg Bensinger', 'person': [{'firstname': 'Greg', 'middlename': None, 'lastname': 'Bensinger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/a86e6e3c-7687-589a-b27a-6b570784cc70,0.1
"With the backing of venture capital and well-known tech investors, Synapticure seeks to fill in the gaps in care and research for those with amyotrophic lateral sclerosis.",https://www.nytimes.com/2022/02/01/business/als-synapticure-startup.html,"In August 2017, Brian Wallach’s notion of time changed forever.",The New York Times,"{'main': 'A Race to Rethink Care After a Dire Diagnosis', 'kicker': None, 'content_kicker': None, 'print_headline': 'Rethinking Care After A.L.S. Diagnosis', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Amyotrophic Lateral Sclerosis', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Clinical Trials', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Telemedicine', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Venture Capital', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Synapticure Inc', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Wallach, Brian', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Abrevaya, Sandra', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Start-ups', 'rank': 8, 'major': 'N'}]",2022-02-01T16:33:49+0000,"{'original': 'By Maureen Farrell', 'person': [{'firstname': 'Maureen', 'middlename': None, 'lastname': 'Farrell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/d2a78924-19dc-551d-b2dd-665e27aa08ca,0.0
A conversation with the co-founder of Run for Something,https://www.nytimes.com/2022/02/01/podcasts/transcript-ezra-klein-interviews-amanda-litman.html,"Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today’s episode with Amanda Litman. Listen wherever you get your podcasts.",The New York Times,"{'main': 'Transcript: Ezra Klein Interviews Amanda Litman', 'kicker': 'The Ezra Klein Show', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Klein, Ezra', 'rank': 1, 'major': 'N'}]",2022-02-01T15:09:47+0000,"{'original': None, 'person': [], 'organization': None}",nyt://article/94579bd5-6b92-5342-9fae-d2295bf8e369,0.0
Companies are wrestling with an array of state rules that makes designing pandemic policies tricky.,https://www.nytimes.com/2022/02/01/business/dealbook/florida-texas-vaccine-mandates.html,"Now that the Biden administration’s nationwide coronavirus vaccine mandate for large companies has been overturned by the Supreme Court, employers are left to navigate a thicket of state and local rules. In New York, that means private employers have to require vaccines. In Florida and Texas, laws limit the pandemic protocols they can put in place.",The New York Times,"{'main': 'States Are Complicating Corporate Pandemic Planning', 'kicker': 'DealBook Newsletter', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Carlyle Group LP', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Manchin, Joe III', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Sinema, Kyrsten', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'SWIFT (Society for Worldwide Interbank Financial Telecommunication)', 'rank': 5, 'major': 'N'}]",2022-02-01T12:33:37+0000,"{'original': 'By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni', 'person': [{'firstname': 'Andrew', 'middlename': 'Ross', 'lastname': 'Sorkin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Jason', 'middlename': None, 'lastname': 'Karaian', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'Sarah', 'middlename': None, 'lastname': 'Kessler', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}, {'firstname': 'Stephen', 'middlename': None, 'lastname': 'Gandel', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 4}, {'firstname': 'Michael', 'middlename': 'J.', 'lastname': 'de la Merced', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 5}, {'firstname': 'Lauren', 'middlename': None, 'lastname': 'Hirsch', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 6}, {'firstname': 'Ephrat', 'middlename': None, 'lastname': 'Livni', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 7}], 'organization': None}",nyt://article/b22a88ad-1ede-5a11-b043-fb42e13b71be,0.0
"A return to a 2015 accord is on the table, but the next decisions are up to the new government in Tehran, the Biden administration says.",https://www.nytimes.com/2022/01/31/us/politics/iran-nuclear-deal-biden.html,"WASHINGTON — The United States and its European allies appear on the cusp of restoring the deal that limited Iran’s nuclear program, Biden administration officials said on Monday, but cautioned that it is now up to the new government in Tehran to decide whether, after months of negotiations, it is willing to dismantle much of its nuclear production equipment in return for sanctions relief.",The New York Times,"{'main': 'U.S. and Allies Close to Reviving Nuclear Deal With Iran, Officials Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. and Allies May Revive 2015 Nuclear Deal With Iran', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Nuclear Weapons', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Embargoes and Sanctions', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Arms Control and Limitation and Disarmament', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Raisi, Ebrahim', 'rank': 9, 'major': 'N'}]",2022-02-01T00:27:13+0000,"{'original': 'By David E. Sanger, Lara Jakes and Farnaz Fassihi', 'person': [{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Sanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Lara', 'middlename': None, 'lastname': 'Jakes', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'Farnaz', 'middlename': None, 'lastname': 'Fassihi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}], 'organization': None}",nyt://article/1f993990-0666-5f54-9de8-957abfcb93d7,0.06818181818181818
The Florida governor and the mainstream press have had a rocky relationship that he has often worked to his advantage.,https://www.nytimes.com/2022/01/31/us/politics/desantis-media.html,"If Gov. Ron DeSantis of Florida somehow becomes the Republican Party’s presidential nominee in 2024, two factors will help explain why: his mastery of his party’s hostile relationship with the mainstream media, and his relentless courtship of Fox News.",The New York Times,"{'main': 'DeSantis and the Media: (Not) a Love Story', 'kicker': 'The On Politics Newsletter', 'content_kicker': None, 'print_headline': 'How DeSantis Gamed The Media as He Rose', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Associated Press', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'DeSantis, Ron', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Florida', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'Fox News Channel', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Hannity, Sean', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'News and News Media', 'rank': 10, 'major': 'N'}]",2022-02-01T00:03:51+0000,"{'original': 'By Blake Hounshell and Leah Askarinam', 'person': [{'firstname': 'Blake', 'middlename': None, 'lastname': 'Hounshell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Leah', 'middlename': None, 'lastname': 'Askarinam', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/112e1047-66da-52ac-81dd-02265758564b,0.0
The Biden administration said the penalties would exceed any levied recently against Russia. It is unclear whether the list of targets includes Vladimir V. Putin himself.,https://www.nytimes.com/2022/01/31/world/europe/putin-sanctions-list.html,The White House said on Monday that it had developed “specific sanctions packages” to strike at Russian “elites” who are “in or near the inner circle of the Kremlin” should President Vladimir V. Putin order an invasion of Ukraine.,The New York Times,"{'main': 'The White House threatens sanctions against Putin’s ‘inner circle’ if Russia invades Ukraine.', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Embargoes and Sanctions', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Putin, Vladimir V', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 6, 'major': 'N'}]",2022-01-31T22:07:53+0000,"{'original': 'By David E. Sanger', 'person': [{'firstname': 'David', 'middlename': 'E.', 'lastname': 'Sanger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/09461d7f-b229-507a-b2cb-79a77e57fa5a,0.0
A Belgian financial messaging service is once again at the center of an international sanctions fight.,https://www.nytimes.com/2022/01/31/us/politics/russia-swift.html,"WASHINGTON — President Biden has pledged that if Russia invades Ukraine it will face “severe economic consequences,” with the United States likely to unleash a blistering package of sanctions that would effectively cut the Russian economy off from much of the global financial system.",The New York Times,"{'main': 'What a Disconnect From Swift Would Mean for Russia', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Allies’ Sanctions Could Cut Russia Off From Message System', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'SWIFT(Society for Worldwide Interbank Financial Telecommunication)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Embargoes and Sanctions', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 8, 'major': 'N'}]",2022-01-31T19:36:48+0000,"{'original': 'By Alan Rappeport', 'person': [{'firstname': 'Alan', 'middlename': None, 'lastname': 'Rappeport', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/7fa2b8d3-f490-526b-bc81-428c584db456,-0.03333333333333333
"The E.P.A. will resume enforcing limits on the release of mercury, a neurotoxin linked to developmental damage in children, from coal-burning power plants.",https://www.nytimes.com/2022/01/31/climate/epa-mercury-pollution-coal.html,"WASHINGTON — The Biden administration on Monday reinstated a way of measuring the benefits of reducing air pollution, the first step in a plan that could tighten limits on the amount of mercury that can be discharged from coal-burning power plants.",The New York Times,"{'main': 'Biden Administration to Reinstate Mercury Pollution Rules Weakened Under Trump', 'kicker': None, 'content_kicker': None, 'print_headline': 'Biden to Reinstate Air Pollution Rules Weakened Under Trump', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Air Pollution', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Mercury (Metal)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hazardous and Toxic Substances', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Coal', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Environmental Protection Agency', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 9, 'major': 'N'}]",2022-01-31T19:14:02+0000,"{'original': 'By Coral Davenport', 'person': [{'firstname': 'Coral', 'middlename': None, 'lastname': 'Davenport', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",nyt://article/5345bdf8-396a-5212-b95c-f7d95dc9975a,0.0
Sometimes fulfilling a campaign promise gets tricky.,https://www.nytimes.com/2022/01/31/opinion/supreme-court-justice.html,"Bret Stephens: Gail, President Biden has announced that he will nominate a Black woman to replace Justice Stephen Breyer. Is this a good idea, politically speaking?",The New York Times,"{'main': 'Nothing’s More Fun Than Picking the Next Supreme Court Justice. Right?', 'kicker': 'The Conversation', 'content_kicker': None, 'print_headline': 'Nothing’s More Fun Than Picking the Next Supreme Court Justice', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Race and Ethnicity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Gun Control', 'rank': 5, 'major': 'N'}]",2022-01-31T10:00:16+0000,"{'original': 'By Gail Collins and Bret Stephens', 'person': [{'firstname': 'Gail', 'middlename': None, 'lastname': 'Collins', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Bret', 'middlename': None, 'lastname': 'Stephens', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/6904f150-e79a-51c4-aa58-5c04b593c785,0.0
The story of an uncle’s cocaine conviction formed only part of Judge Jackson’s understanding of the system’s complexities. She is now seen as a contender to be President Biden’s Supreme Court pick.,https://www.nytimes.com/2022/01/30/us/politics/supreme-court-ketanji-brown-jackson.html,Follow the latest updates on Judge Ketanji Brown Jackson’s Supreme Court confirmation hearings.,The New York Times,"{'main': 'For Ketanji Brown Jackson, View of Criminal Justice Was Shaped by Family', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Judge With a View of Justice Shaped by Family', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Jackson, Ketanji Brown (1970- )', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Criminal Justice', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Courts and the Judiciary', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Black People', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 13, 'major': 'N'}]",2022-01-30T17:45:49+0000,"{'original': 'By Patricia Mazzei and Charlie Savage', 'person': [{'firstname': 'Patricia', 'middlename': None, 'lastname': 'Mazzei', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Charlie', 'middlename': None, 'lastname': 'Savage', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/ebc81e00-22b8-54cc-9ab1-1050ffd105fd,0.0
"As Biden prepares to nominate the first Black woman to the nation’s highest court, members of this small, elite group are watching with complicated emotions.",https://www.nytimes.com/2022/01/29/us/supreme-court-black-women-biden.html,"[Race affects our lives in countless ways. To read more stories on race from The New York Times, sign up here for our Race/Related newsletter.]",The New York Times,"{'main': 'Black Women in Law Feel Pride and Frustration Ahead of Court Nominee', 'kicker': None, 'content_kicker': None, 'print_headline': 'Black Women in Law Envision a Supreme Court That Looks ‘More Like America’', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Black People', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Discrimination', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Legal Profession', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Law Schools', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Courts and the Judiciary', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Supreme Court (US)', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 11, 'major': 'N'}, {'name': 'persons', 'value': 'Breyer, Stephen G', 'rank': 12, 'major': 'N'}]",2022-01-29T21:43:43+0000,"{'original': 'By Tariro Mzezewa and Audra D. S. Burch', 'person': [{'firstname': 'Tariro', 'middlename': None, 'lastname': 'Mzezewa', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Audra', 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",nyt://article/d9ed6d19-6a66-52fc-bab8-dcae3e10d574,-0.16666666666666666
